DJI_0248.JPG
FC6310_8.8_4864x3648 (RGB)
PerspectiveCamera5
global
F,C0_x,C0_y,R1,R2,R3,T1,T2,X,Y,Z,Alpha,Beta,Gamma
0.0328556, 1, -0.0565385, -0.0032051, 0.00815648, -0.00733533, -0.0888418, 0.946523, -0.00322505, 0.000422726, -0.000175218, 0.00399337, 0.0147935, 0.0356642
-0.393775, -0.0565385, 1, -0.0691387, 0.0259573, -0.0208535, 0.800684, -0.0793322, 0.00705727, 0.00378874, -0.00143832, 0.0230762, -0.00043788, -0.0091158
-0.237045, -0.0032051, -0.0691387, 1, -0.96124, 0.90279, -0.0607056, -0.00703704, 0.00169861, 0.00220415, 0.000109278, -0.00111078, -0.000974382, -0.00205938
0.270453, 0.00815648, 0.0259573, -0.96124, 1, -0.982192, 0.0224707, 0.0149687, -0.000647478, -0.000693703, -8.69878e-05, 0.000778144, 3.30631e-05, 0.000958938
-0.236784, -0.00733533, -0.0208535, 0.90279, -0.982192, 1, -0.0143785, -0.0136347, 0.000398453, 0.000576549, 3.31829e-05, -0.000728585, -1.87919e-05, -0.00073783
-0.15222, -0.0888418, 0.800684, -0.0607056, 0.0224707, -0.0143785, 1, -0.0992074, 0.00632537, 0.00423283, -0.00126981, 0.0194601, -0.0012735, -0.00995209
0.0414033, 0.946523, -0.0793322, -0.00703704, 0.0149687, -0.0136347, -0.0992074, 1, -0.00445057, 0.000200779, -0.000288137, 0.00376177, 0.0152472, 0.0355395
0.000959944, -0.00322505, 0.00705727, 0.00169861, -0.000647478, 0.000398453, 0.00632537, -0.00445057, 1, -0.0256391, -0.001795, 0.0172412, -0.0125922, -0.155872
0.00923054, 0.000422726, 0.00378874, 0.00220415, -0.000693703, 0.000576549, 0.00423283, 0.000200779, -0.0256391, 1, 0.000391626, 0.00541372, 0.0151915, -0.326522
-0.00089754, -0.000175218, -0.00143832, 0.000109278, -8.69878e-05, 3.31829e-05, -0.00126981, -0.000288137, -0.001795, 0.000391626, 1, -0.196372, 0.227536, 0.00443061
-0.00732501, 0.00399337, 0.0230762, -0.00111078, 0.000778144, -0.000728585, 0.0194601, 0.00376177, 0.0172412, 0.00541372, -0.196372, 1, -0.189149, -0.0191136
-0.00517265, 0.0147935, -0.00043788, -0.000974382, 3.30631e-05, -1.87919e-05, -0.0012735, 0.0152472, -0.0125922, 0.0151915, 0.227536, -0.189149, 1, 0.00693798
-0.00725758, 0.0356642, -0.0091158, -0.00205938, 0.000958938, -0.00073783, -0.00995209, 0.0355395, -0.155872, -0.326522, 0.00443061, -0.0191136, 0.00693798, 1
DJI_0256.JPG
FC6310_8.8_4864x3648 (RGB)
PerspectiveCamera5
global
F,C0_x,C0_y,R1,R2,R3,T1,T2,X,Y,Z,Alpha,Beta,Gamma
1, 0.0328556, -0.393775, -0.237045, 0.270453, -0.236784, -0.15222, 0.0414033, 9.84946e-05, 0.00888843, -0.0014477, -0.00825536, -0.00453848, -0.00578765
0.0328556, 1, -0.0565385, -0.0032051, 0.00815648, -0.00733533, -0.0888418, 0.946523, -0.00285953, 0.000674074, -0.000536925, 0.00407844, 0.0137992, 0.0348219
-0.393775, -0.0565385, 1, -0.0691387, 0.0259573, -0.0208535, 0.800684, -0.0793322, 0.00679021, 0.00423053, -0.000987589, 0.023073, -0.000859706, -0.00894926
-0.237045, -0.0032051, -0.0691387, 1, -0.96124, 0.90279, -0.0607056, -0.00703704, 0.00156671, 0.00219062, -4.32692e-05, -0.00120153, -0.00125195, -0.00177037
0.270453, 0.00815648, 0.0259573, -0.96124, 1, -0.982192, 0.0224707, 0.0149687, -0.000604868, -0.000575538, 5.29639e-06, 0.000848248, 0.000530821, 0.000823295
-0.236784, -0.00733533, -0.0208535, 0.90279, -0.982192, 1, -0.0143785, -0.0136347, 0.000370442, 0.000427712, -4.72399e-05, -0.000791489, -0.000566982, -0.000595161
-0.15222, -0.0888418, 0.800684, -0.0607056, 0.0224707, -0.0143785, 1, -0.0992074, 0.00604737, 0.00435898, -0.00102421, 0.0189737, -0.00189064, -0.00983379
0.0414033, 0.946523, -0.0793322, -0.00703704, 0.0149687, -0.0136347, -0.0992074, 1, -0.00415942, 0.000300563, -0.000607507, 0.0037817, 0.0145365, 0.0345402
9.84946e-05, -0.00285953, 0.00679021, 0.00156671, -0.000604868, 0.000370442, 0.00604737, -0.00415942, 1, -0.0215172, -0.00210769, 0.0187037, -0.0162149, -0.112694
0.00888843, 0.000674074, 0.00423053, 0.00219062, -0.000575538, 0.000427712, 0.00435898, 0.000300563, -0.0215172, 1, 0.000473176, 0.00845632, 0.0163928, -0.382316
-0.0014477, -0.000536925, -0.000987589, -4.32692e-05, 5.29639e-06, -4.72399e-05, -0.00102421, -0.000607507, -0.00210769, 0.000473176, 1, -0.220355, 0.248456, 0.00525049
-0.00825536, 0.00407844, 0.023073, -0.00120153, 0.000848248, -0.000791489, 0.0189737, 0.0037817, 0.0187037, 0.00845632, -0.220355, 1, -0.184633, -0.0204955
-0.00453848, 0.0137992, -0.000859706, -0.00125195, 0.000530821, -0.000566982, -0.00189064, 0.0145365, -0.0162149, 0.0163928, 0.248456, -0.184633, 1, 0.00729151
-0.00578765, 0.0348219, -0.00894926, -0.00177037, 0.000823295, -0.000595161, -0.00983379, 0.0345402, -0.112694, -0.382316, 0.00525049, -0.0204955, 0.00729151, 1
DJI_0257.JPG
FC6310_8.8_4864x3648 (RGB)
PerspectiveCamera5
global
F,C0_x,C0_y,R1,R2,R3,T1,T2,X,Y,Z,Alpha,Beta,Gamma
